peer_count,seed,implementation,round,previous_mesh,candidate_mesh,deployed_mesh,gossip_factor,heartbeat_ms,accepted,rejection_reason
50,4244,FedGreenSub,2,8,8,8,0.244339259,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4244,FedGreenSub,3,8,8,8,0.2365650215,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4244,Trust-Aware,1,8,8,8,0.2484909074,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4244,Trust-Aware,2,8,8,8,0.2443399987,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4244,Trust-Aware,3,8,8,8,0.236567246,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,FedGreenSub,1,8,8,8,0.2484907264,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,FedGreenSub,2,8,8,8,0.2443392285,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,FedGreenSub,3,8,8,8,0.2365649458,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,Trust-Aware,1,8,8,8,0.2484909009,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,Trust-Aware,2,8,8,8,0.2443399749,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4245,Trust-Aware,3,8,8,8,0.236567196,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,FedGreenSub,1,8,8,8,0.2484907292,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,FedGreenSub,2,8,8,8,0.2443392379,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,FedGreenSub,3,8,8,8,0.236564961,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,Trust-Aware,1,8,8,8,0.2484909078,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,Trust-Aware,2,8,8,8,0.2443399998,974,true,vs run-start: accepted: objective improved or remained equal within tolerances
50,4246,Trust-Aware,3,8,8,8,0.2365672472,937,true,vs run-start: accepted: objective improved or remained equal within tolerances
100,4242,FedGreenSub,1,8,8,8,0.2484944849,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
