scenario,metric,implementation,mean,stddev,baseline_value,percentage_difference
trust,Estimated Energy per Delivered Message,Standard GossipSub,0.0006868147817353407,7.288530468887392e-09,0.0006868147817353407,0.0
trust,Estimated Energy per Delivered Message,FedGreenSub,0.0006838166019171477,7.288530468941602e-09,0.0006868147817353407,-0.4365339678068206
trust,Estimated Energy per Delivered Message,Trust-Aware FedGreenSub,0.000682120598979791,7.288530468941602e-09,0.0006868147817353407,-0.6834714220461507
trust,Go Heap Memory (MB),Standard GossipSub,0.5556793212890625,0.02985382080078125,0.5556793212890625,0.0
trust,Go Heap Memory (MB),FedGreenSub,0.5632858276367188,0.02985382080078125,0.5556793212890625,1.3688661888678364
trust,Go Heap Memory (MB),Trust-Aware FedGreenSub,0.579742431640625,0.02985382080078125,0.5556793212890625,4.3303951451245295
trust,Average Latency (ms),Standard GossipSub,20.0,0.0,20.0,0.0
trust,Average Latency (ms),FedGreenSub,20.0,0.0,20.0,0.0
trust,Average Latency (ms),Trust-Aware FedGreenSub,20.0,0.0,20.0,0.0
trust,Average TrustScore,Standard GossipSub,0.0,0.0,0.0,
trust,Average TrustScore,FedGreenSub,0.0,0.0,0.0,
trust,Average TrustScore,Trust-Aware FedGreenSub,0.5471813725490197,0.0,0.0,
trust,Minimum TrustScore,Standard GossipSub,0.0,0.0,0.0,
trust,Minimum TrustScore,FedGreenSub,0.0,0.0,0.0,
trust,Minimum TrustScore,Trust-Aware FedGreenSub,0.5055147058823529,0.0,0.0,
trust,Trust Variance,Standard GossipSub,0.0,0.0,0.0,
trust,Trust Variance,FedGreenSub,0.0,0.0,0.0,
trust,Trust Variance,Trust-Aware FedGreenSub,0.0008680555555555555,0.0,0.0,
trust,Trusted Peer Ratio,Standard GossipSub,0.0,0.0,0.0,
trust,Trusted Peer Ratio,FedGreenSub,0.0,0.0,0.0,
trust,Trusted Peer Ratio,Trust-Aware FedGreenSub,0.0,0.0,0.0,
trust,Trust Update Time (us),Standard GossipSub,0.0,0.0,0.0,
trust,Trust Update Time (us),FedGreenSub,0.0,0.0,0.0,
trust,Trust Update Time (us),Trust-Aware FedGreenSub,12.0,0.0,0.0,
trust,Peer Ranking Time (us),Standard GossipSub,0.0,0.0,0.0,
trust,Peer Ranking Time (us),FedGreenSub,0.0,0.0,0.0,
trust,Peer Ranking Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
trust,Trust Aggregation Time (us),Standard GossipSub,0.0,0.0,0.0,
trust,Trust Aggregation Time (us),FedGreenSub,0.0,0.0,0.0,
trust,Trust Aggregation Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
