scenario,implementation,peer_count,repetition,seed,modeled_resource_cost_total,modeled_resource_cost_per_delivered_message,delivered,duplicates,duplicate_ratio,delivery_ratio,bytes_sent,bytes_received,cpu,memory_mb
energy-scaling,fl,50,2,4243,67.2422513637,0.363471628993,185,12,0.0617129054023,0.92661768806,217438,201481,56.6374137454,2.7741317749
energy-scaling,fedgreen,50,2,4243,67.2420464099,0.363470521135,185,12,0.0617126422768,0.92661768806,217438,201481,56.6374137454,2.99221038818
energy-scaling,trustaware,50,2,4243,67.2422524517,0.363471634874,185,12,0.0617129070033,0.92661768806,217438,201481,56.6374137454,3.27975463867
energy-scaling,gossipsub,50,3,4244,68.3978363959,0.369718034572,185,12,0.0633145734372,0.927328582599,217766,201940,56.630576624,3.54891204834
energy-scaling,heuristic,50,3,4244,68.3978363959,0.369718034572,185,12,0.0633145734372,0.927328582599,217766,201940,56.630576624,1.11838531494
energy-scaling,fl,50,3,4244,67.0944736549,0.362672830567,185,12,0.0617025680725,0.927328582599,217436,201634,56.630576624,1.44952392578
energy-scaling,fedgreen,50,3,4244,67.0942725164,0.362671743332,185,12,0.0617023094556,0.927328582599,217436,201634,56.630576624,1.79161834717
energy-scaling,trustaware,50,3,4244,67.0944746777,0.362672836096,185,12,0.061702569498,0.927328582599,217436,201634,56.630576624,2.2555847168
energy-scaling,gossipsub,50,4,4245,68.0995518707,0.368105685788,185,12,0.0631919590164,0.926942157309,217741,201833,56.2386024427,2.52463531494
energy-scaling,heuristic,50,4,4245,68.0995518707,0.368105685788,185,12,0.0631919590164,0.926942157309,217741,201833,56.2386024427,2.80046081543
energy-scaling,fl,50,4,4245,66.7961842391,0.361060455347,185,12,0.0615799472965,0.926942157309,217411,201527,56.2386024427,3.15821838379
energy-scaling,fedgreen,50,4,4245,66.7959802985,0.361059352965,185,12,0.0615796852778,0.926942157309,217411,201527,56.2386024427,3.41159057617
energy-scaling,trustaware,50,4,4245,66.7961855533,0.36106046245,185,12,0.061579949103,0.926942157309,217411,201527,56.2386024427,1.50519561768
energy-scaling,gossipsub,50,5,4246,68.4814841498,0.370170184593,185,12,0.0629333134468,0.926531691036,217688,201694,56.6823439485,1.77443695068
energy-scaling,heuristic,50,5,4246,68.4814841498,0.370170184593,185,12,0.0629333134468,0.926531691036,217688,201694,56.6823439485,2.05026245117
energy-scaling,fl,50,5,4246,67.1781219519,0.363124983524,185,12,0.0613213088528,0.926531691036,217358,201389,56.6823439485,2.32183074951
energy-scaling,fedgreen,50,5,4246,67.1779137417,0.363123858063,185,12,0.0613210411771,0.926531691036,217358,201389,56.6823439485,2.58409118652
energy-scaling,trustaware,50,5,4246,67.1781226209,0.36312498714,185,12,0.0613213098167,0.926531691036,217358,201389,56.6823439485,3.04340362549
energy-scaling,gossipsub,100,1,4242,68.5595091864,0.372606028187,184,12,0.0647928942267,0.923866463987,218069,201466,57.115441186,3.58760070801
energy-scaling,heuristic,100,1,4242,68.5595091864,0.372606028187,184,12,0.0647928942267,0.923866463987,218069,201466,57.115441186,1.55210876465
energy-scaling,fl,100,1,4242,67.2559312719,0.365521365608,184,12,0.0631823664082,0.923866463987,217739,201161,57.115441186,2.54107666016
energy-scaling,fedgreen,100,1,4242,67.2556764947,0.365519980949,184,12,0.063182050501,0.923866463987,217739,201161,57.115441186,3.44608306885
energy-scaling,trustaware,100,1,4242,67.2559305729,0.365521361809,184,12,0.0631823657755,0.923866463987,217739,201161,57.115441186,1.95391082764
energy-scaling,gossipsub,100,2,4243,69.0000103707,0.375000056363,184,12,0.0649592951785,0.923464903366,218103,201410,57.6395199572,2.48665618896
energy-scaling,heuristic,100,2,4243,69.0000103707,0.375000056363,184,12,0.0649592951785,0.923464903366,218103,201410,57.6395199572,3.03005981445
